te,sa,da,byt,teDelta
2016-04-11 00:02:06,170.235.174.43,42.219.153.210,4359,126
2016-04-11 00:05:21,42.219.153.210,143.72.8.137,46350,195
2016-04-11 00:07:17,36.113.157.190,42.219.153.210,4168,116
2016-04-11 00:08:17,204.223.250.211,42.219.153.210,45132,60
2016-04-11 00:08:37,42.219.153.210,42.145.31.42,4146,20
2016-04-11 00:10:49,42.219.153.210,42.152.1.21,47452,132
2016-04-11 00:13:32,143.72.8.137,42.219.153.210,4321,163
2016-04-11 00:15:58,42.219.153.210,211.38.41.107,45978,146
2016-04-11 00:17:22,42.219.153.210,60.242.232.69,4212,84
2016-04-11 00:18:35,42.219.153.210,56.153.165.185,47605,73
2016-04-11 00:20:06,143.72.8.137,42.219.153.210,4278,91
2016-04-11 00:22:07,210.95.186.238,42.219.153.210,47471,121
2016-04-11 00:23:49,188.31.65.49,42.219.153.210,4160,102
2016-04-11 00:26:50,143.72.8.137,42.219.153.210,46381,181
2016-04-11 00:29:03,42.219.153.210,143.72.8.137,4220,133
2016-04-11 00:30:18,42.219.153.210,62.161.128.131,46844,75
2016-04-11 00:33:13,42.219.153.210,253.138.40.100,4253,175
2016-04-11 00:35:31,42.219.153.210,102.216.44.232,46813,138
2016-04-11 00:37:34,42.219.153.210,85.236.82.121,4162,123
2016-04-11 00:40:21,143.72.4.250,42.219.153.210,46552,167
2016-04-11 00:41:38,42.219.153.210,194.233.67.128,4284,77
2016-04-11 00:43:06,204.97.186.217,42.219.153.210,45103,88
2016-04-11 00:44:55,42.219.153.210,54.143.183.66,4319,109
2016-04-11 00:46:48,42.219.153.210,85.215.155.89,47305,113
2016-04-11 00:49:17,42.219.153.210,193.40.57.79,4245,149
2016-04-11 00:51:20,143.72.4.250,42.219.153.210,45538,123
2016-04-11 00:52:34,42.219.153.210,202.161.107.104,4279,74
2016-04-11 00:53:51,183.85.76.234,42.219.153.210,45704,77
2016-04-11 00:56:17,42.219.153.210,73.5.203.135,4261,146
2016-04-11 00:58:10,42.219.153.210,208.104.47.229,45830,113
2016-04-11 01:00:51,42.219.153.210,64.181.214.90,4181,161
2016-04-11 01:01:54,54.143.54.149,42.219.153.210,32042026,63
2016-04-11 01:03:35,126.18.11.176,42.219.153.210,31957206,101
2016-04-11 01:04:50,42.219.153.210,143.72.4.250,32851567,75
2016-04-11 01:05:34,73.5.203.135,42.219.153.210,32268741,44
2016-04-11 01:06:47,57.67.1.33,42.219.153.210,32374382,73
2016-04-11 01:09:49,42.219.153.210,35.10.36.78,32947022,182
2016-04-11 01:11:30,79.247.146.13,42.219.153.210,31846372,101
2016-04-11 01:13:02,188.31.65.47,42.219.153.210,32727916,92
2016-04-11 01:14:29,42.219.153.210,143.72.8.137,32327129,87
2016-04-11 01:16:33,48.144.171.229,42.219.153.210,31851095,124
2016-04-11 01:18:03,42.219.153.210,175.177.229.79,32381470,90
2016-04-11 01:20:48,194.233.67.128,42.219.153.210,33109944,165
2016-04-11 01:21:23,91.71.126.181,42.219.153.210,32411820,35
2016-04-11 01:23:00,199.95.15.126,42.219.153.210,33330811,97
2016-04-11 01:24:17,42.219.153.210,168.40.238.59,32230161,77
2016-04-11 01:25:31,219.104.36.57,42.219.153.210,31660371,74
2016-04-11 01:27:02,42.219.153.210,165.133.210.175,31876171,91
2016-04-11 01:28:52,42.219.153.210,64.160.31.20,32725584,110
2016-04-11 01:31:19,42.219.153.210,45.202.195.102,32142629,147
2016-04-11 01:33:49,42.219.153.210,168.40.234.106,32061568,150
2016-04-11 01:35:18,42.219.153.210,165.60.39.245,31989801,89
2016-04-11 01:36:08,42.219.153.210,158.128.250.78,33044291,50
2016-04-11 01:38:10,106.150.228.174,42.219.153.210,32965711,122
2016-04-11 01:39:57,42.219.153.210,63.0.229.233,32464493,107
2016-04-11 01:41:21,42.152.1.21,42.219.153.210,31611406,84
2016-04-11 01:42:54,42.219.153.210,218.153.241.193,31708379,93
2016-04-11 01:45:30,158.128.220.19,42.219.153.210,32756238,156
2016-04-11 01:47:47,42.219.153.210,143.72.8.137,32304177,137
2016-04-11 01:50:17,185.1.199.91,42.219.153.210,33321980,150
2016-04-11 01:51:59,133.75.62.80,42.219.153.210,33178242,102
2016-04-11 01:54:44,73.5.203.135,42.219.153.210,32929810,165
2016-04-11 01:56:00,246.205.68.191,42.219.153.210,32614495,76
2016-04-11 01:58:39,42.219.153.210,54.143.54.186,32136138,159
2016-04-11 02:00:12,50.207.41.195,42.219.153.210,31885873,93
2016-04-11 02:01:35,165.133.210.175,42.219.153.210,114778259,83
2016-04-11 02:04:07,42.219.153.210,204.97.186.147,114615702,152
2016-04-11 02:06:49,42.219.153.210,69.124.9.215,114000261,162
2016-04-11 02:09:15,143.72.4.250,42.219.153.210,113379749,146
2016-04-11 02:11:06,42.219.153.210,202.179.151.184,113754191,111
2016-04-11 02:13:03,92.1.225.160,42.219.153.210,117009242,117
