te,sa,da,byt,teDelta
2016-04-11 00:00:33,60.96.49.142,42.219.151.203,97,33
2016-04-11 00:00:59,220.107.125.219,42.219.151.203,38,26
2016-04-11 00:01:51,66.36.199.55,42.219.151.203,40,52
2016-04-11 00:04:02,218.62.16.213,42.219.151.203,39,131
2016-04-11 00:04:33,165.45.203.178,42.219.151.203,40,31
2016-04-11 00:04:46,68.137.244.163,42.219.151.203,41,13
2016-04-11 00:05:10,73.101.143.76,42.219.151.203,40,24
2016-04-11 00:11:38,115.28.24.13,42.219.151.203,40,388
2016-04-11 00:16:45,217.156.57.81,42.219.151.203,39,307
2016-04-11 00:20:29,246.7.129.12,42.219.151.203,39,224
2016-04-11 00:25:35,176.116.194.129,42.219.151.203,40,306
2016-04-11 00:25:36,222.156.17.131,42.219.151.203,41,1
2016-04-11 00:27:18,208.43.183.102,42.219.151.203,40,102
2016-04-11 00:27:18,248.18.149.207,42.219.151.203,39,0
2016-04-11 00:27:34,117.208.149.51,42.219.151.203,40,16
2016-04-11 00:28:13,228.137.13.234,42.219.151.203,40,39
2016-04-11 00:30:02,208.43.183.74,42.219.151.203,40,109
2016-04-11 00:35:12,223.150.128.101,42.219.151.203,41,310
2016-04-11 00:36:32,40.137.236.9,42.219.151.203,40,80
2016-04-11 00:38:16,33.12.107.16,42.219.151.203,39,104
2016-04-11 00:40:47,237.15.191.19,42.219.151.203,40,151
2016-04-11 00:42:21,182.42.182.186,42.219.151.203,41,94
2016-04-11 00:49:26,240.111.145.48,42.219.151.203,41,425
2016-04-11 00:51:54,176.116.194.233,42.219.151.203,38,148
2016-04-11 00:53:53,240.111.145.48,42.219.151.203,40,119
2016-04-11 00:55:49,176.116.194.233,42.219.151.203,38,116
2016-04-11 00:59:29,124.57.65.249,42.219.151.203,39,220
2016-04-11 01:01:14,33.1.81.87,42.219.151.203,40,105
2016-04-11 01:01:15,217.156.57.81,42.219.151.203,40,1
2016-04-11 01:03:24,42.93.243.234,42.219.151.203,39,129
2016-04-11 01:07:00,248.21.14.42,42.219.151.203,40,216
2016-04-11 01:08:00,77.53.47.15,42.219.151.203,40,60
2016-04-11 01:09:01,33.12.111.207,42.219.151.203,39,61
2016-04-11 01:09:24,182.42.182.186,42.219.151.203,40,23
2016-04-11 01:09:34,197.48.5.206,42.219.151.203,39,10
2016-04-11 01:18:33,69.132.5.51,42.219.151.203,40,539
2016-04-11 01:19:15,62.100.79.239,42.219.151.203,38,42
2016-04-11 01:19:15,32.100.20.28,42.219.151.203,39,0
2016-04-11 01:19:48,84.139.12.90,42.219.151.203,40,33
2016-04-11 01:24:58,164.229.229.220,42.219.151.203,40,310
2016-04-11 01:26:05,42.9.7.17,42.219.151.203,40,67
2016-04-11 01:32:52,198.132.44.182,42.219.151.203,39,407
2016-04-11 01:32:58,42.112.137.119,42.219.151.203,39,6
2016-04-11 01:33:30,70.148.0.238,42.219.151.203,38,32
2016-04-11 01:33:31,168.105.169.6,42.219.151.203,38,1
2016-04-11 01:33:31,96.96.13.149,42.219.151.203,39,0
2016-04-11 01:33:31,82.7.67.216,42.219.151.203,39,0
2016-04-11 01:38:12,192.253.239.112,42.219.151.203,40,281
2016-04-11 01:42:39,221.177.81.97,42.219.151.203,39,267
2016-04-11 01:44:33,218.31.93.168,42.219.151.203,39,114
2016-04-11 01:45:07,75.129.168.66,42.219.151.203,39,34
2016-04-11 01:54:55,246.183.3.40,42.219.151.203,38,588
2016-04-11 01:54:55,43.141.46.170,42.219.151.203,38,0
2016-04-11 01:56:36,234.63.69.201,42.219.151.203,38,101
2016-04-11 01:56:36,172.3.81.195,42.219.151.203,39,0
2016-04-11 01:57:05,185.60.79.173,42.219.151.203,38,29
2016-04-11 01:57:41,82.6.252.215,42.219.151.203,41,36
2016-04-11 02:09:40,216.156.202.228,42.219.151.203,38,719
2016-04-11 02:13:50,170.142.80.51,42.219.151.203,38,250
2016-04-11 02:17:17,182.42.182.186,42.219.151.203,41,207
