te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:06:30,0.0,176.116.195.149,42.219.145.129,5185,5074,UDP,.A....,0,40,1,439,background,2,0,390,0
2016-04-11 00:09:14,0.0,69.81.144.249,42.219.145.129,53966,19,UDP,.A....,0,40,1,28,background,439,0,554,164
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.145.129,49344,3306,TCP,....S.,0,40,1,40,background,28,0,960,406
2016-04-11 00:18:12,0.0,204.223.22.109,42.219.145.129,46681,5003,TCP,....S.,0,0,1,40,background,40,0,1092,132
2016-04-11 00:21:49,0.0,42.9.7.17,42.219.145.129,4554,445,TCP,....S.,0,72,1,48,background,40,0,1309,217
2016-04-11 00:23:03,0.0,176.116.195.149,42.219.145.129,5218,5075,UDP,.A....,0,40,1,442,background,48,0,1383,74
2016-04-11 00:26:08,0.0,82.6.252.214,42.219.145.129,43817,443,TCP,....S.,0,0,1,40,background,442,0,1568,185
2016-04-11 00:27:23,0.0,33.12.117.59,42.219.145.129,5484,5580,UDP,.A....,0,0,1,443,background,40,0,1643,75
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.145.129,5060,5060,UDP,.A....,0,0,1,445,background,443,0,1690,47
2016-04-11 00:28:44,0.0,217.231.240.54,42.219.145.129,39255,2121,TCP,....S.,0,40,1,40,background,445,0,1724,34
2016-04-11 00:28:56,3.008,236.189.141.113,42.219.145.129,53120,23,TCP,....S.,0,72,2,104,background,40,0,1736,12
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.145.129,9090,22,TCP,....S.,0,40,1,40,background,104,0,2149,413
2016-04-11 00:39:35,0.0,176.116.195.149,42.219.145.129,5137,5065,UDP,.A....,0,40,1,440,background,40,0,2375,226
2016-04-11 00:41:53,0.0,242.100.155.243,42.219.145.129,45352,8080,TCP,....S.,0,0,1,40,background,440,0,2513,138
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.145.129,6000,3306,TCP,....S.,0,40,1,40,background,40,0,2584,71
2016-04-11 00:43:29,0.0,240.111.186.124,42.219.145.129,12200,80,TCP,....S.,0,0,1,40,background,40,0,2609,25
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.145.129,20000,53,UDP,.A....,0,40,1,70,background,40,0,2681,72
2016-04-11 00:45:01,0.0,60.133.101.194,42.219.145.129,5145,5060,UDP,.A....,0,40,1,445,background,70,0,2701,20
2016-04-11 00:47:42,0.0,82.167.246.233,42.219.145.129,41620,1900,UDP,.A....,0,0,1,125,background,445,0,2862,161
2016-04-11 00:48:52,2.984,36.226.222.231,42.219.145.129,47356,23,TCP,....S.,0,0,2,120,background,125,0,2932,70
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.145.129,5068,5060,UDP,.A....,0,40,1,446,background,120,0,3167,235
2016-04-11 00:56:06,0.0,176.116.195.149,42.219.145.129,5090,6000,UDP,.A....,0,40,1,441,background,446,0,3366,199
2016-04-11 00:58:26,0.0,224.7.72.145,42.219.145.129,32399,8080,TCP,....S.,0,40,1,40,background,441,0,3506,140
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.145.129,20001,53,UDP,.A....,0,40,1,70,background,40,1,3830,324
2016-04-11 01:08:26,9.004,112.56.201.16,42.219.145.129,61371,3389,TCP,....S.,0,40,3,152,background,70,1,4106,276
2016-04-11 01:12:20,0.0,213.82.166.3,42.219.145.129,5724,5060,UDP,.A....,0,40,1,442,background,152,1,4340,234
2016-04-11 01:12:39,0.0,176.116.195.149,42.219.145.129,5108,5040,UDP,.A....,0,40,1,440,background,442,1,4359,19
2016-04-11 01:17:49,0.0,194.231.171.145,42.219.145.129,17449,9981,TCP,....S.,0,40,1,40,background,440,1,4669,310
2016-04-11 01:21:47,2.9760000000000004,78.110.200.128,42.219.145.129,53747,23,TCP,....S.,0,40,2,120,background,40,1,4907,238
