te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:06:23,0.0,176.116.195.149,42.219.153.13,5185,5074,UDP,.A....,0,40,1,440,background,2,0,383,0
2016-04-11 00:09:33,0.0,56.207.76.118,42.219.153.13,999,53,UDP,.A....,0,40,1,65,background,440,0,573,190
2016-04-11 00:11:02,7.007999999999999,136.121.35.109,42.219.153.13,40539,23,TCP,....S.,0,40,4,240,background,65,0,662,89
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.153.13,48194,3306,TCP,....S.,0,40,1,40,background,240,0,960,298
2016-04-11 00:17:13,7.316,226.91.87.33,42.219.153.13,3750,53413,UDP,.A....,0,40,3,87,background,40,0,1033,73
2016-04-11 00:18:07,0.0,204.223.22.109,42.219.153.13,46681,5003,TCP,....S.,0,0,1,40,background,87,0,1087,54
2016-04-11 00:21:39,0.0,42.9.7.17,42.219.153.13,3392,445,TCP,....S.,0,72,1,48,background,40,0,1299,212
2016-04-11 00:22:56,0.0,176.116.195.149,42.219.153.13,5218,5075,UDP,.A....,0,40,1,441,background,48,0,1376,77
2016-04-11 00:23:27,0.0,32.100.20.28,42.219.153.13,41478,23,TCP,....S.,0,40,1,40,background,441,0,1407,31
2016-04-11 00:24:30,0.0,62.40.208.28,42.219.153.13,41656,3392,TCP,....S.,0,0,1,40,background,40,0,1470,63
2016-04-11 00:27:16,0.0,33.12.117.59,42.219.153.13,5484,5580,UDP,.A....,0,0,1,442,background,40,0,1636,166
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.153.13,5060,5060,UDP,.A....,0,0,1,442,background,442,0,1690,54
2016-04-11 00:28:38,0.0,217.231.240.54,42.219.153.13,39255,2121,TCP,....S.,0,40,1,40,background,442,0,1718,28
2016-04-11 00:34:35,0.0,56.207.76.118,42.219.153.13,999,53,UDP,.A....,0,40,1,65,background,40,0,2075,357
2016-04-11 00:35:26,2.9960000000000004,87.181.206.9,42.219.153.13,42651,23,TCP,....S.,0,40,2,104,background,65,0,2126,51
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.153.13,9090,22,TCP,....S.,0,40,1,40,background,104,0,2149,23
2016-04-11 00:39:27,0.0,176.116.195.149,42.219.153.13,5137,5065,UDP,.A....,0,40,1,439,background,40,0,2367,218
2016-04-11 00:41:28,9.0,232.161.30.113,42.219.153.13,33908,23,TCP,....S.,0,40,2,120,background,439,0,2488,121
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.153.13,6000,3306,TCP,....S.,0,40,1,40,background,120,0,2584,96
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.153.13,20000,53,UDP,.A....,0,40,1,69,background,40,0,2681,97
2016-04-11 00:45:00,0.0,60.133.101.194,42.219.153.13,5145,5060,UDP,.A....,0,40,1,444,background,69,0,2700,19
2016-04-11 00:47:48,0.0,82.167.246.233,42.219.153.13,41620,1900,UDP,.A....,0,0,1,125,background,444,0,2868,168
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.153.13,5068,5060,UDP,.A....,0,40,1,442,background,125,0,3167,299
2016-04-11 00:54:50,0.0,208.43.183.102,42.219.153.13,49821,1027,TCP,....S.,0,40,1,40,background,442,0,3290,123
2016-04-11 00:55:59,0.0,176.116.195.149,42.219.153.13,5090,6000,UDP,.A....,0,40,1,438,background,40,0,3359,69
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.153.13,20001,53,UDP,.A....,0,40,1,69,background,438,1,3830,471
2016-04-11 01:04:03,0.0,246.7.238.246,42.219.153.13,12200,37015,TCP,....S.,0,72,1,40,background,69,1,3843,13
2016-04-11 01:08:46,9.0,232.121.196.242,42.219.153.13,4296,23,TCP,....S.,0,40,3,180,background,40,1,4126,283
2016-04-11 01:11:38,0.0,213.82.166.3,42.219.153.13,5724,5060,UDP,.A....,0,40,1,440,background,180,1,4298,172
2016-04-11 01:12:07,0.0,208.43.183.102,42.219.153.13,49821,8089,TCP,....S.,0,40,1,40,background,440,1,4327,29
2016-04-11 01:12:31,0.0,176.116.195.149,42.219.153.13,5108,5040,UDP,.A....,0,40,1,438,background,40,1,4351,24
2016-04-11 01:21:45,0.0,69.81.144.249,42.219.153.13,50755,17,UDP,.A....,0,40,1,28,background,438,1,4905,554
2016-04-11 01:26:29,0.0,218.12.179.68,42.219.153.13,45727,3128,TCP,....S.,0,0,1,40,background,28,1,5189,284
2016-04-11 01:26:56,0.404,42.219.153.13,185.86.193.244,80,50375,TCP,.AP.SF,0,0,4,664,background,40,1,5216,27
2016-04-11 01:26:56,0.604,185.86.193.244,42.219.153.13,50375,80,TCP,.AP.SF,0,8,6,473,background,664,1,5216,0
2016-04-11 01:27:19,0.0,56.207.76.118,42.219.153.13,999,53,UDP,.A....,0,40,1,65,background,473,1,5239,23
2016-04-11 01:35:08,0.0,246.205.68.186,42.219.153.13,14064,22,TCP,....S.,0,40,1,48,background,65,1,5708,469
2016-04-11 01:39:02,0.0,56.207.76.118,42.219.153.13,999,53,UDP,.A....,0,40,1,65,background,48,1,5942,234
2016-04-11 01:40:49,0.0,217.156.57.81,42.219.153.13,6764,5061,UDP,.A....,0,40,1,433,background,65,1,6049,107
2016-04-11 01:40:49,0.0,217.156.57.81,42.219.153.13,6764,5062,UDP,.A....,0,40,1,434,background,433,1,6049,0
2016-04-11 01:40:49,0.0,217.156.57.81,42.219.153.13,6764,5063,UDP,.A....,0,40,1,434,background,434,1,6049,0
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5064,UDP,.A....,0,40,1,434,background,434,1,6050,1
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5065,UDP,.A....,0,40,1,432,background,434,1,6050,0
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5066,UDP,.A....,0,40,1,433,background,432,1,6050,0
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5067,UDP,.A....,0,40,1,433,background,433,1,6050,0
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5068,UDP,.A....,0,40,1,434,background,433,1,6050,0
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5069,UDP,.A....,0,40,1,432,background,434,1,6050,0
2016-04-11 01:40:50,0.0,217.156.57.81,42.219.153.13,6764,5070,UDP,.A....,0,40,1,434,background,432,1,6050,0
2016-04-11 01:40:51,0.0,217.156.57.81,42.219.153.13,6764,5071,UDP,.A....,0,40,1,433,background,434,1,6051,1
2016-04-11 01:40:51,0.0,217.156.57.81,42.219.153.13,6764,5072,UDP,.A....,0,40,1,434,background,433,1,6051,0
2016-04-11 01:40:51,0.0,217.156.57.81,42.219.153.13,6764,5073,UDP,.A....,0,40,1,431,background,434,1,6051,0
2016-04-11 01:40:51,0.0,217.156.57.81,42.219.153.13,6764,5074,UDP,.A....,0,40,1,434,background,431,1,6051,0
2016-04-11 01:40:52,0.0,217.156.57.81,42.219.153.13,6764,5075,UDP,.A....,0,40,1,434,background,434,1,6052,1
2016-04-11 01:40:52,0.0,217.156.57.81,42.219.153.13,6764,5076,UDP,.A....,0,40,1,433,background,434,1,6052,0
2016-04-11 01:40:52,0.0,217.156.57.81,42.219.153.13,6764,5077,UDP,.A....,0,40,1,434,background,433,1,6052,0
2016-04-11 01:40:52,0.0,217.156.57.81,42.219.153.13,6764,5078,UDP,.A....,0,40,1,435,background,434,1,6052,0
2016-04-11 01:40:52,0.0,217.156.57.81,42.219.153.13,6764,5079,UDP,.A....,0,40,1,434,background,435,1,6052,0
2016-04-11 01:40:52,0.0,217.156.57.81,42.219.153.13,6764,5080,UDP,.A....,0,40,1,434,background,434,1,6052,0
2016-04-11 01:40:53,0.0,217.156.57.81,42.219.153.13,6764,5081,UDP,.A....,0,40,1,434,background,434,1,6053,1
2016-04-11 01:40:53,0.0,217.156.57.81,42.219.153.13,6764,5082,UDP,.A....,0,40,1,431,background,434,1,6053,0
2016-04-11 01:40:53,0.0,217.156.57.81,42.219.153.13,6764,5083,UDP,.A....,0,40,1,434,background,431,1,6053,0
2016-04-11 01:40:53,0.0,217.156.57.81,42.219.153.13,6764,5084,UDP,.A....,0,40,1,435,background,434,1,6053,0
2016-04-11 01:40:53,0.0,217.156.57.81,42.219.153.13,6764,5085,UDP,.A....,0,40,1,432,background,435,1,6053,0
2016-04-11 01:40:54,0.0,217.156.57.81,42.219.153.13,6764,5086,UDP,.A....,0,40,1,433,background,432,1,6054,1
2016-04-11 01:40:54,0.0,217.156.57.81,42.219.153.13,6764,5087,UDP,.A....,0,40,1,434,background,433,1,6054,0
2016-04-11 01:40:54,0.0,217.156.57.81,42.219.153.13,6764,5088,UDP,.A....,0,40,1,433,background,434,1,6054,0
2016-04-11 01:40:54,0.0,217.156.57.81,42.219.153.13,6764,5089,UDP,.A....,0,40,1,434,background,433,1,6054,0
2016-04-11 01:40:54,0.0,217.156.57.81,42.219.153.13,6764,5090,UDP,.A....,0,40,1,433,background,434,1,6054,0
2016-04-11 01:45:39,0.0,33.12.99.120,42.219.153.13,5380,5060,UDP,.A....,0,0,1,442,background,433,1,6339,285
2016-04-11 01:47:38,0.0,192.253.239.95,42.219.153.13,60949,2222,TCP,....S.,0,72,1,40,background,442,1,6458,119
2016-04-11 01:48:39,0.0,198.132.27.142,42.219.153.13,48527,9100,TCP,....S.,0,40,1,40,background,40,1,6519,61
2016-04-11 01:51:23,0.0,124.57.65.249,42.219.153.13,6667,9322,TCP,...R..,0,8,1,40,background,40,1,6683,164
2016-04-11 01:53:40,0.0,36.37.136.91,42.219.153.13,5060,5060,UDP,.A....,0,0,1,434,background,40,1,6820,137
2016-04-11 01:58:51,0.0,69.124.8.90,42.219.153.13,38328,123,UDP,.A....,0,40,1,37,background,434,1,7131,311
2016-04-11 02:01:50,9.0,72.228.239.40,42.219.153.13,4302,4028,TCP,....S.,0,72,3,180,background,37,2,7310,179
2016-04-11 02:11:23,0.0,43.42.79.231,42.219.153.13,44791,137,UDP,.A....,0,0,1,78,background,180,2,7883,573
2016-04-11 02:18:09,0.0,222.156.17.131,42.219.153.13,46690,9443,TCP,....S.,0,40,1,40,background,78,2,8289,406
2016-04-11 02:18:52,0.0,42.219.153.13,222.156.17.131,443,46690,TCP,.A..S.,0,0,1,44,background,40,2,8332,43
2016-04-11 02:18:52,0.04,222.156.17.131,42.219.153.13,46690,443,TCP,...RS.,0,40,3,120,background,44,2,8332,0
2016-04-11 02:18:54,0.0,222.156.17.131,42.219.153.13,46690,5443,TCP,....S.,0,40,1,40,background,120,2,8334,2
2016-04-11 02:18:55,0.0,222.156.17.131,42.219.153.13,46690,8443,TCP,....S.,0,40,1,40,background,40,2,8335,1
