te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:03:04,4.996,44.68.125.49,42.219.149.22,47114,23,TCP,....S.,0,40,6,360,background,2,0,184,0
2016-04-11 00:05:49,0.0,164.225.245.79,42.219.149.22,12200,55002,TCP,....S.,0,72,1,40,background,360,0,349,165
2016-04-11 00:06:36,0.0,176.116.195.149,42.219.149.22,5185,5074,UDP,.A....,0,40,1,441,background,40,0,396,47
2016-04-11 00:07:26,0.0,57.41.189.61,42.219.149.22,25565,17303,TCP,...R..,0,40,1,40,background,441,0,446,50
2016-04-11 00:12:42,0.0,32.100.20.28,42.219.149.22,41478,80,TCP,....S.,0,40,1,40,background,40,0,762,316
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.149.22,50364,3306,TCP,....S.,0,40,1,40,background,40,0,960,198
2016-04-11 00:18:28,0.0,204.223.22.109,42.219.149.22,46681,5003,TCP,....S.,0,0,1,40,background,40,0,1108,148
2016-04-11 00:21:58,0.0,42.9.7.17,42.219.149.22,3763,445,TCP,....S.,0,72,1,48,background,40,0,1318,210
2016-04-11 00:22:11,0.0,158.45.212.244,42.219.149.22,80,15867,TCP,.A..S.,0,0,1,44,background,48,0,1331,13
2016-04-11 00:23:00,0.696,158.45.212.244,42.219.149.22,80,15867,TCP,.A..S.,0,0,2,88,background,44,0,1380,49
2016-04-11 00:23:10,0.0,176.116.195.149,42.219.149.22,5218,5075,UDP,.A....,0,40,1,439,background,88,0,1390,10
2016-04-11 00:26:35,0.0,66.36.199.55,42.219.149.22,3733,23,TCP,....S.,0,40,1,60,background,439,0,1595,205
2016-04-11 00:27:29,0.0,33.12.117.59,42.219.149.22,5484,5580,UDP,.A....,0,0,1,443,background,60,0,1649,54
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.149.22,5060,5060,UDP,.A....,0,0,1,444,background,443,0,1690,41
2016-04-11 00:28:24,0.0,217.231.240.54,42.219.149.22,39255,2121,TCP,....S.,0,40,1,40,background,444,0,1704,14
2016-04-11 00:29:19,0.0,192.253.239.7,42.219.149.22,50714,2222,TCP,....S.,0,72,1,40,background,40,0,1759,55
2016-04-11 00:33:17,3.012,50.168.177.26,42.219.149.22,57320,23,TCP,....S.,0,40,2,104,background,40,0,1997,238
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.149.22,9090,22,TCP,....S.,0,40,1,40,background,104,0,2149,152
2016-04-11 00:39:41,0.0,176.116.195.149,42.219.149.22,5137,5065,UDP,.A....,0,40,1,441,background,40,0,2381,232
2016-04-11 00:40:39,7.0760000000000005,87.202.84.233,42.219.149.22,56246,53413,UDP,.A....,0,40,3,87,background,441,0,2439,58
2016-04-11 00:42:04,0.0,208.43.183.102,42.219.149.22,49821,8890,TCP,....S.,0,40,1,40,background,87,0,2524,85
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.149.22,6000,3306,TCP,....S.,0,40,1,40,background,40,0,2584,60
2016-04-11 00:43:11,0.0,32.100.20.28,42.219.149.22,41478,8083,TCP,....S.,0,40,1,40,background,40,0,2591,7
