te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:02:15,0.0,56.228.99.129,42.219.147.28,24366,2404,TCP,....S.,0,72,1,40,background,2,0,135,0
2016-04-11 00:03:49,7.007999999999999,35.76.251.59,42.219.147.28,60124,22,TCP,....S.,0,0,4,240,background,40,0,229,94
2016-04-11 00:03:59,0.0,117.208.149.200,42.219.147.28,59607,443,TCP,....S.,0,72,1,40,background,240,0,239,10
2016-04-11 00:03:59,0.0,117.208.149.201,42.219.147.28,35922,443,TCP,....S.,0,72,1,40,background,40,0,239,0
2016-04-11 00:06:32,0.0,176.116.195.149,42.219.147.28,5185,5074,UDP,.A....,0,40,1,442,background,40,0,392,153
2016-04-11 00:18:14,0.0,204.223.22.109,42.219.147.28,46681,5003,TCP,....S.,0,0,1,40,background,442,0,1094,702
2016-04-11 00:20:23,0.0,69.81.144.249,42.219.147.28,35683,19,UDP,.A....,0,40,1,28,background,40,0,1223,129
2016-04-11 00:20:51,0.0,198.132.59.191,42.219.147.28,63030,44818,UDP,.A....,0,40,1,52,background,28,0,1251,28
2016-04-11 00:21:52,0.0,42.9.7.17,42.219.147.28,3104,445,TCP,....S.,0,72,1,48,background,52,0,1312,61
2016-04-11 00:23:05,0.0,176.116.195.149,42.219.147.28,5218,5075,UDP,.A....,0,40,1,437,background,48,0,1385,73
2016-04-11 00:23:27,0.0,165.202.36.149,42.219.147.28,45278,8080,TCP,....S.,0,0,1,40,background,437,0,1407,22
2016-04-11 00:27:20,3.004,210.156.157.195,42.219.147.28,41034,23,TCP,....S.,0,0,2,104,background,40,0,1640,233
2016-04-11 00:27:25,0.0,33.12.117.59,42.219.147.28,5484,5580,UDP,.A....,0,0,1,442,background,104,0,1645,5
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.147.28,5060,5060,UDP,.A....,0,0,1,445,background,442,0,1690,45
2016-04-11 00:28:18,0.0,217.231.240.54,42.219.147.28,39255,2121,TCP,....S.,0,40,1,40,background,445,0,1698,8
2016-04-11 00:28:25,2.9960000000000004,69.20.178.213,42.219.147.28,38378,23,TCP,....S.,0,0,2,104,background,40,0,1705,7
