te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:06:26,0.0,176.116.195.149,42.219.155.50,5185,5074,UDP,.A....,0,40,1,440,background,2,0,386,0
2016-04-11 00:06:37,2.992,136.78.253.151,42.219.155.50,60193,445,TCP,....S.,0,72,2,96,background,440,0,397,11
2016-04-11 00:09:14,0.0,56.207.76.118,42.219.155.50,999,53,UDP,.A....,0,40,1,65,background,96,0,554,157
2016-04-11 00:15:05,0.0,117.208.149.132,42.219.155.50,57775,80,TCP,....S.,0,72,1,40,background,65,0,905,351
2016-04-11 00:15:05,0.0,117.208.149.133,42.219.155.50,51799,80,TCP,....S.,0,72,1,40,background,40,0,905,0
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.155.50,48708,3306,TCP,....S.,0,40,1,40,background,40,0,960,55
2016-04-11 00:18:26,0.0,204.223.22.109,42.219.155.50,46681,5003,TCP,....S.,0,0,1,40,background,40,0,1106,146
2016-04-11 00:21:43,0.0,42.9.7.17,42.219.155.50,3915,445,TCP,....S.,0,72,1,48,background,40,0,1303,197
2016-04-11 00:22:59,0.0,176.116.195.149,42.219.155.50,5218,5075,UDP,.A....,0,40,1,436,background,48,0,1379,76
2016-04-11 00:27:19,0.0,33.12.117.59,42.219.155.50,5484,5580,UDP,.A....,0,0,1,443,background,436,0,1639,260
2016-04-11 00:27:32,0.0,217.231.240.54,42.219.155.50,39255,2121,TCP,....S.,0,40,1,40,background,443,0,1652,13
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.155.50,5060,5060,UDP,.A....,0,0,1,443,background,40,0,1690,38
2016-04-11 00:28:29,2.9560000000000004,70.174.207.120,42.219.155.50,4400,445,TCP,....S.,0,0,2,104,background,443,0,1709,19
2016-04-11 00:34:17,0.0,56.207.76.118,42.219.155.50,999,53,UDP,.A....,0,40,1,65,background,104,0,2057,348
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.155.50,9090,22,TCP,....S.,0,40,1,40,background,65,0,2149,92
2016-04-11 00:39:30,0.0,176.116.195.149,42.219.155.50,5137,5065,UDP,.A....,0,40,1,440,background,40,0,2370,221
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.155.50,6000,3306,TCP,....S.,0,40,1,40,background,440,0,2584,214
2016-04-11 00:43:48,0.0,70.153.180.146,42.219.155.50,11430,25,TCP,....S.,0,72,1,52,background,40,0,2628,44
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.155.50,20000,53,UDP,.A....,0,40,1,69,background,52,0,2681,53
2016-04-11 00:45:00,0.0,60.133.101.194,42.219.155.50,5145,5060,UDP,.A....,0,40,1,444,background,69,0,2700,19
2016-04-11 00:45:32,0.0,56.235.68.172,42.219.155.50,0,771,ICMP,.A....,0,40,1,81,background,444,0,2732,32
2016-04-11 00:47:47,0.0,82.167.246.233,42.219.155.50,41620,1900,UDP,.A....,0,0,1,125,background,81,0,2867,135
2016-04-11 00:52:00,0.0,208.115.143.98,42.219.155.50,4935,3389,TCP,....S.,0,0,1,52,background,125,0,3120,253
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.155.50,5068,5060,UDP,.A....,0,40,1,443,background,52,0,3167,47
2016-04-11 00:56:02,0.0,176.116.195.149,42.219.155.50,5090,6000,UDP,.A....,0,40,1,439,background,443,0,3362,195
2016-04-11 00:56:30,2.952,165.152.222.81,42.219.155.50,1347,445,TCP,....S.,0,40,2,96,background,439,0,3390,28
2016-04-11 00:58:26,0.0,224.7.72.145,42.219.155.50,25892,8080,TCP,....S.,0,40,1,40,background,96,0,3506,116
2016-04-11 00:59:11,3.968,41.186.183.209,42.219.155.50,56982,23,TCP,....S.,0,40,4,240,background,40,0,3551,45
2016-04-11 01:01:27,0.0,193.157.96.202,42.219.155.50,50281,445,TCP,....S.,0,40,1,52,background,240,1,3687,136
2016-04-11 01:02:05,0.0,198.132.59.191,42.219.155.50,20012,8443,TCP,....S.,0,40,1,40,background,52,1,3725,38
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.155.50,20001,53,UDP,.A....,0,40,1,69,background,40,1,3830,105
2016-04-11 01:11:57,0.0,213.82.166.3,42.219.155.50,5724,5060,UDP,.A....,0,40,1,440,background,69,1,4317,487
2016-04-11 01:12:34,0.0,176.116.195.149,42.219.155.50,5108,5040,UDP,.A....,0,40,1,439,background,440,1,4354,37
2016-04-11 01:12:42,8.996,40.172.154.212,42.219.155.50,43601,23,TCP,....S.,0,0,3,180,background,439,1,4362,8
2016-04-11 01:14:24,0.0,236.43.144.65,42.219.155.50,6000,3306,TCP,....S.,0,0,1,40,background,180,1,4464,102
2016-04-11 01:15:13,0.0,56.228.70.238,42.219.155.50,14562,18245,TCP,....S.,0,0,1,40,background,40,1,4513,49
2016-04-11 01:21:27,14.708,66.116.167.11,42.219.155.50,54266,23,TCP,....S.,0,72,5,300,background,40,1,4887,374
2016-04-11 01:27:00,0.0,56.207.76.118,42.219.155.50,999,53,UDP,.A....,0,40,1,65,background,300,1,5220,333
2016-04-11 01:35:08,0.0,246.205.68.186,42.219.155.50,14064,22,TCP,....S.,0,40,1,48,background,65,1,5708,488
2016-04-11 01:37:44,0.0,178.27.3.205,42.219.155.50,12200,21320,TCP,....S.,0,72,1,40,background,48,1,5864,156
2016-04-11 01:37:44,0.0,178.27.3.205,42.219.155.50,12200,80,TCP,....S.,0,72,1,40,background,40,1,5864,0
