te,sa,da,byt,teDelta
2016-04-11 00:00:11,221.181.217.3,42.219.154.191,1125,11
2016-04-11 00:00:32,194.233.74.64,42.219.154.191,242,21
2016-04-11 00:00:52,42.219.154.191,32.125.110.221,1095197,20
2016-04-11 00:01:08,42.219.154.191,143.72.8.137,103100218,16
2016-04-11 00:01:16,42.219.154.191,85.236.82.121,22455450,8
2016-04-11 00:01:34,101.103.191.192,42.219.154.191,20362882,18
2016-04-11 00:01:47,42.219.154.191,194.233.67.157,20665837,13
2016-04-11 00:02:07,42.219.154.191,169.110.171.181,21345958,20
2016-04-11 00:02:27,76.164.254.0,42.219.154.191,21197416,20
2016-04-11 00:02:54,42.219.154.191,168.113.153.173,20778067,27
2016-04-11 00:03:02,42.219.154.191,71.210.82.0,21292568,8
2016-04-11 00:03:24,42.219.154.191,37.5.29.56,604532,22
2016-04-11 00:03:55,75.179.204.244,42.219.154.191,22184755,31
2016-04-11 00:04:10,193.40.48.125,42.219.154.191,152122396,15
2016-04-11 00:04:13,158.128.192.110,42.219.154.191,28277087,3
2016-04-11 00:04:32,188.31.65.45,42.219.154.191,132096910,19
2016-04-11 00:04:45,42.219.154.191,209.92.117.72,18273959,13
2016-04-11 00:04:54,42.219.154.191,158.128.201.139,139880935,9
2016-04-11 00:05:01,42.219.154.191,54.143.54.112,375389,7
2016-04-11 00:05:15,253.138.40.100,42.219.154.191,21595452,14
2016-04-11 00:05:20,194.233.64.42,42.219.154.191,21781817,5
2016-04-11 00:05:37,42.219.154.191,209.80.76.67,150233770,17
2016-04-11 00:05:57,42.219.154.191,45.202.195.102,126104021,20
2016-04-11 00:06:15,106.150.228.191,42.219.154.191,22496343,18
2016-04-11 00:06:34,42.219.154.191,102.216.44.96,21183203,19
2016-04-11 00:06:46,188.31.65.63,42.219.154.191,21323818,12
2016-04-11 00:07:00,42.219.154.191,197.187.132.22,21014103,14
2016-04-11 00:07:04,175.177.229.60,42.219.154.191,40456298,4
2016-04-11 00:07:28,42.219.154.191,143.72.4.250,19038398,24
2016-04-11 00:07:53,42.219.154.191,193.40.49.126,21774041,25
2016-04-11 00:07:54,143.72.4.250,42.219.154.191,110638134,1
