te,sa,da,byt,teDelta
2016-04-11 00:02:07,194.233.70.248,42.219.153.45,439426,127
2016-04-11 00:04:44,42.219.153.45,194.233.64.110,122483,157
2016-04-11 00:06:20,42.219.153.45,194.211.148.83,189387,96
2016-04-11 00:07:55,127.204.60.89,42.219.153.45,37407,95
2016-04-11 00:10:04,36.37.147.152,42.219.153.45,128108,129
2016-04-11 00:11:50,175.177.229.79,42.219.153.45,27336,106
2016-04-11 00:14:33,211.166.77.168,42.219.153.45,750970,163
2016-04-11 00:16:24,208.255.38.41,42.219.153.45,26379,111
2016-04-11 00:18:30,42.219.153.45,165.133.210.175,3163133,126
2016-04-11 00:19:26,42.219.153.45,53.201.132.14,130262,56
2016-04-11 00:22:03,42.219.153.45,220.21.179.21,242898,157
2016-04-11 00:25:14,42.219.153.45,79.242.41.57,2456884,191
2016-04-11 00:27:02,194.233.74.191,42.219.153.45,522898,108
2016-04-11 00:28:08,42.219.153.45,182.42.162.139,765250,66
2016-04-11 00:30:04,106.150.228.40,42.219.153.45,137795,116
2016-04-11 00:31:55,143.72.4.250,42.219.153.45,75639,111
2016-04-11 00:33:23,43.164.49.177,42.219.153.45,66602,88
2016-04-11 00:35:07,216.37.125.156,42.219.153.45,4444607,104
2016-04-11 00:37:13,42.219.153.45,32.88.152.252,19679,126
2016-04-11 00:39:13,42.219.153.45,68.119.201.250,1144742,120
2016-04-11 00:42:33,143.72.8.137,42.219.153.45,4053,200
2016-04-11 00:44:25,85.236.82.121,42.219.153.45,3591309,112
2016-04-11 00:45:38,36.37.176.93,42.219.153.45,833918,73
2016-04-11 00:48:29,188.31.65.104,42.219.153.45,2432342,171
2016-04-11 00:51:10,208.255.38.41,42.219.153.45,293798,161
2016-04-11 00:52:24,209.51.138.85,42.219.153.45,157369,74
2016-04-11 00:54:39,42.219.153.45,143.72.4.250,10289769,135
2016-04-11 00:55:32,42.219.153.45,167.150.151.197,914425,53
2016-04-11 00:57:59,42.219.153.45,169.110.44.121,390640,147
2016-04-11 00:59:41,42.219.153.45,36.63.196.115,92741,102
2016-04-11 01:00:51,42.219.153.45,92.19.0.120,4389388,70
2016-04-11 01:02:11,42.219.153.45,222.11.218.236,127296,80
2016-04-11 01:03:44,42.219.153.45,0.64.255.9,1454478,93
2016-04-11 01:05:42,42.219.153.45,194.233.75.138,3206919,118
2016-04-11 01:07:29,75.179.204.89,42.219.153.45,419416,107
2016-04-11 01:10:30,165.252.6.212,42.219.153.45,191499,181
2016-04-11 01:11:20,168.57.126.189,42.219.153.45,3454578,50
2016-04-11 01:12:45,208.255.38.41,42.219.153.45,617454,85
2016-04-11 01:14:12,63.0.229.233,42.219.153.45,88851,87
