te,sa,da,byt,teDelta
2016-04-11 00:00:29,42.219.159.95,42.219.151.207,53,29
2016-04-11 00:00:56,42.219.159.95,42.219.154.133,53,27
2016-04-11 00:01:29,42.219.159.95,42.219.159.154,42,33
2016-04-11 00:01:32,42.219.159.95,42.219.159.194,45,3
2016-04-11 00:01:47,42.219.159.95,42.219.153.149,46,15
2016-04-11 00:01:58,42.219.159.95,42.219.159.221,50,11
2016-04-11 00:01:58,42.219.159.95,42.219.159.195,54,0
2016-04-11 00:01:59,42.219.159.95,42.219.159.194,51,1
2016-04-11 00:01:59,42.219.159.95,42.219.159.221,42,0
2016-04-11 00:02:31,42.219.159.95,42.219.153.246,41,32
2016-04-11 00:02:32,42.219.159.95,42.219.159.221,43,1
2016-04-11 00:02:55,42.219.159.95,42.219.159.158,44,23
2016-04-11 00:02:55,42.219.159.95,42.219.145.255,47,0
2016-04-11 00:02:59,42.219.159.95,42.219.159.159,44,4
2016-04-11 00:03:13,42.219.159.95,42.219.153.155,51,14
2016-04-11 00:03:32,42.219.159.95,42.219.149.212,45,19
2016-04-11 00:03:32,42.219.159.95,42.219.153.83,53,0
2016-04-11 00:04:43,42.219.159.95,42.219.154.108,46,71
2016-04-11 00:04:44,42.219.159.95,42.219.159.152,53,1
2016-04-11 00:04:53,42.219.159.95,42.219.159.159,52,9
2016-04-11 00:05:20,42.219.159.95,42.219.159.194,44,27
2016-04-11 00:05:39,42.219.159.95,42.219.154.123,49,19
2016-04-11 00:06:31,42.219.159.95,42.219.153.155,48,52
2016-04-11 00:06:31,42.219.159.95,42.219.159.159,47,0
2016-04-11 00:06:33,42.219.159.95,42.219.159.159,43,2
2016-04-11 00:06:33,42.219.159.95,42.219.159.154,42,0
2016-04-11 00:06:42,42.219.159.95,42.219.159.194,44,9
2016-04-11 00:06:44,42.219.159.95,42.219.159.152,48,2
2016-04-11 00:06:57,42.219.159.95,42.219.149.51,52,13
2016-04-11 00:07:00,42.219.159.95,42.219.159.194,40,3
2016-04-11 00:07:01,42.219.159.95,42.219.154.100,45,1
2016-04-11 00:07:35,42.219.159.95,42.219.159.221,47,34
2016-04-11 00:08:02,42.219.159.95,42.219.159.158,45,27
2016-04-11 00:08:04,42.219.159.95,42.219.152.254,40,2
