one_ip,baseline1 ==> time:27.433333333333334mins
ten_ip,baseline1 ==> time:342.28333333333336mins
42.219.153.7,baseline1 ==> time:104.46666666666667mins
42.219.153.89,baseline1 ==> time:96.9mins
42.219.155.56,baseline1 ==> time:98.23333333333333mins
42.219.155.26,baseline1 ==> time:68.6mins
42.219.159.194,baseline1 ==> time:52.75mins
42.219.152.249,baseline1 ==> time:48.43333333333333mins
42.219.159.82,baseline1 ==> time:49.666666666666664mins
42.219.159.92,baseline1 ==> time:48.61666666666667mins
42.219.159.94,baseline1 ==> time:49.56666666666667mins
42.219.159.82,baseline2 ==> time:71.83333333333333mins
42.219.159.92,baseline2 ==> time:53.68333333333333mins
42.219.159.94,baseline2 ==> time:57.93333333333333mins
====================================

10users,5days,baseline1 ==> time:214.26666666666668mins
10users,5days,baseline2 ==> time:358.05mins
10users,1days,baseline2 ==> time:73.8mins
10users,1days,baseline2 ==> time:68.23333333333333mins
10users,1days,baseline2 ==> time:67.53333333333333mins
10users,1days,baseline2 ==> time:67.41666666666667mins
10users,1days,baseline2 ==> time:67.53333333333333mins
10users,1days,baseline2 ==> time:67.73333333333333mins
10users,1days,baseline2 ==> time:67.68333333333334mins
10users,1days,baseline2 ==> time:75.98333333333333mins
10users,1days,baseline2 ==> time:70.16666666666667mins
10users,1days,baseline2 ==> time:70.63333333333334mins
10users,10days,baseline1 ==> time:4.7mins
10users,10days,baseline2 ==> time:6.083333333333333mins
10users,10days,baseline1 ==> time:4.083333333333333mins
10users,10days,baseline2 ==> time:5.866666666666666mins
10users,10days,baseline1 ==> time:4.083333333333333mins
10users,10days,baseline2 ==> time:6.383333333333334mins
100users,10days,baseline1 ==> time:1.9333333333333333mins
100users,10days,baseline1 ==> time:1.9166666666666667mins
100users,10days,baseline2 ==> time:7.883333333333334mins
100users,10days,baseline2 ==> time:26.983333333333334mins
100users,1days,baseline1 ==> time:0.4166666666666667mins
100users,100days,baseline1 ==> time:21.283333333333335mins
100users,100days,baseline2 ==> time:28.35mins
100users,1days,baseline1 ==> time:0.25mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
100users,1days,baseline1 ==> time:0.0mins
